,Date,Session,Trial,Subject_Involved,Participants,Subject,Start_TTL,Stop_TTL
99,2022.12.01,A,T05,BC,SE011B,B,21.404992,477.011732
100,2022.12.01,A,T05,BC,SE012C,C,11.951554,467.556224
101,2022.12.01,A,T06,AB,SE012A,A,30.540132,413.636909
102,2022.12.01,A,T06,AB,SE012B,B,16.8685,399.965507
103,2022.12.05,M,T01,AC,SE013A,A,0,0
104,2022.12.05,M,T01,AC,SE013C,C,0,0
105,2022.12.05,M,T02,BC,SE013B,B,0,0
106,2022.12.05,M,T02,BC,SE013C,C,0,0
107,2022.12.05,M,T03,B,SE013B,B,9.348739,271.751246
108,2022.12.05,M,T04,C,SE013C,C,0,0
109,2022.12.05,M,T05,AB,SE013A,A,14.035486,394.861234
110,2022.12.05,M,T05,AB,SE013B,B,50.422083,431.248443
111,2022.12.05,M,T06,A,SE013A,A,0,0
112,2022.12.07,M,T01,A,SE014A,A,93.245653,396.411003
113,2022.12.07,M,T02,B,SE014B,B,26.552541,332.038781
114,2022.12.07,M,T03,AB,SE014A,A,10.181789,480.305679
115,2022.12.07,M,T03,AB,SE014B,B,21.90176,492.026193
116,2022.12.07,A,T03,B,SE016B,B,14.653505,259.079641
117,2022.12.07,A,T05B,AB,SE016A,A,0,0
118,2022.12.07,A,T05B,AB,SE016B,B,43.913954,405.123382
119,2022.12.07,A,T06A,A,SE016A,A,65.84866,354.317137
120,2022.12.08,M,T01,C,SE017C,C,16.730634,276.069429
121,2022.12.08,M,T02,AB,SE017A,A,51.170356,472.14161
122,2022.12.08,M,T02,AB,SE017B,B,28.773491,449.745357
123,2022.12.08,M,T03,B,SE017B,B,8.629416,264.154356
124,2022.12.08,M,T04,AC,SE017A,A,0,0
125,2022.12.08,M,T04,AC,SE017C,C,0,0
126,2022.12.08,M,T05,A,SE017A,A,8.772056,275.397551
127,2022.12.08,M,T06,BC,SE017B,B,22.240655,423.598944
128,2022.12.08,M,T06,BC,SE017C,C,11.916659,413.275321
129,2022.12.08,A,T01,B,SE018B,B,8.520576,289.956979
130,2022.12.08,A,T02,AC,SE018A,A,35.311264,445.426141
131,2022.12.08,A,T02,AC,SE018C,C,0,0
132,2022.12.08,A,T03,AB,SE018A,A,21.787146,391.544528
133,2022.12.08,A,T03,AB,SE018B,B,10.036202,379.799361
134,2022.12.08,A,T04A,BC,SE018B,B,0,0
135,2022.12.08,A,T04A,BC,SE018C,C,44.11,437.748
136,2022.12.08,A,T05,A,SE018A,A,20.912413,319.317238
137,2022.12.08,A,T06,C,SE018C,C,10.978938,311.755421
138,2022.12.19,A,T01B,AB,SE019A,A,56.199374,444.953922
139,2022.12.19,A,T01B,AB,SE019B,B,0,0
140,2022.12.19,A,T03,A,SE019A,A,40.828858,282.02673
141,2022.12.19,A,T02,C,SE019C,C,31.43603,244.985514
142,2022.12.19,A,T04B,AC,SE019A,A,0,0
143,2022.12.19,A,T04B,AC,SE019C,C,12.23382,351.961
144,2022.12.19,A,T05,B,SE019B,B,0,0
145,2022.12.19,A,T06,BC,SE019B,B,0,0
146,2022.12.19,A,T06,BC,SE019C,C,0,0
147,2022.12.20,A,T02,A,SE020A,A,0,0
148,2022.12.20,A,T03,B,SE020B,B,0,0
149,2022.12.20,A,T04,AB,SE020A,A,31.274248,438.068139
150,2022.12.20,A,T04,AB,SE020B,B,156.767739,427.523431
151,2022.12.21,M,T01,AC,SE021A,A,36.667439,535.908038
152,2022.12.21,M,T01,AC,SE021C,C,0,0
153,2022.12.21,M,T02,B,SE021B,B,0,0
154,2022.12.21,M,T03,A,SE021A,A,7.1735,273.484357
155,2022.12.21,M,T04,C,SE021C,C,55.763844,326.717387
156,2022.12.21,M,T05,BC,SE021B,B,0,0
157,2022.12.21,M,T05,BC,SE021C,C,0,0
158,2022.12.21,M,T06,AB,SE021A,A,22.428582,432.685068
159,2022.12.21,M,T06,AB,SE021B,B,0,0
160,2023.01.03,A,T01,B,SE022B,B,83.547207,391.358507
161,2023.01.03,A,T03B,A,SE022A,A,53.034579,338.025152
162,2023.01.03,A,T04,AB,SE022A,A,142.189721,516.57094
163,2023.01.03,A,T04,AB,SE022B,B,129.031573,503.426799
164,2023.01.16,A,T01,BC,SE023B,B,124.803753,553.197559
165,2023.01.16,A,T01,BC,SE023C,C,10.601534,438.99554
166,2023.01.16,A,T02,AB,SE022A,A,55.897637,454.061405
167,2023.01.16,A,T02,AB,SE023B,B,44.005875,442.169321
168,2023.01.16,A,T03,C,SE023C,C,20.055,279.923
169,2023.01.16,A,T04,AC,SE023A,A,24.115169,386.884426
170,2023.01.16,A,T04,AC,SE023C,C,12.506075,375.281464
171,2023.01.16,A,T05,A,SE023A,A,12.490881,267.987725
172,2023.01.16,A,T06,B,SE023B,B,8.461418,288.769804
173,2023.01.17,A,T01,AB,SE024A,A,25.193658,480.017741
174,2023.01.17,A,T01,AB,SE024B,B,38.986248,493.808918
175,2023.01.17,A,T02,B,SE024B,B,0,0
176,2023.01.17,A,T03,A,SE024A,A,0,0
177,2023.01.19,A,T02,A,SE025A,A,0,0
178,2023.01.19,A,T03,B,SE025B,B,22.286712,291.36714
179,2023.01.19,A,T05,AB,SE025A,A,5.933246,371.22545
180,2023.01.19,A,T05,AB,SE025C,C,0,0
181,2023.01.26,M,T01,AB,SE026A,A,0,0
182,2023.01.26,M,T01,AB,SE026B,B,0,0
183,2023.01.26,M,T02,A,SE026A,A,0,0
184,2023.01.26,M,T03,B,SE026B,B,0,0
185,2023.02.06,A,T01,A,SE027A,A,45.901694,345.230206
186,2023.02.06,A,T02,B,SE027B,B,70.097407,377.317356
187,2023.02.06,A,T02,AB,SE027A,A,0,0
188,2023.02.06,A,T03,AB,SE027B,B,22.701312,490.049825
189,2023.02.07,A,T01,A,SE028A,A,76.347254,342.573335
190,2023.02.07,A,T02,B,SE028B,B,29.082678,335.611623
191,2023.02.07,A,T03B,AC,SE028A,A,42.639064,407.692409
192,2023.02.07,A,T03B,AC,SE028C,C,0,0
193,2023.02.07,A,T04,BC,SE028B,B,13.290452,419.754938
194,2023.02.07,A,T04,BC,SE028C,C,22.492969,428.976858
195,2023.02.07,A,T05,AB,SE028A,A,21.377371,413.949285
196,2023.02.07,A,T05,AB,SE028B,B,34.333661,426.901298
197,2023.02.07,A,T06,C,SE028C,C,38.2627,296.788912
198,2023.02.08,A,T01,AB,SE029A,A,33.58157,417.674326
199,2023.02.08,A,T02,AB,SE029B,B,0,0
200,2023.02.08,A,T03,C,SE029C,C,0,0
201,2023.02.08,A,T03,B,SE029B,B,44.921611,329.066125
202,2023.02.08,A,T04,A,SE029A,A,21.261507,292.309262
203,2023.02.08,A,T04,BC,SE029B,B,0,0
204,2023.02.08,A,T05,BC,SE029C,C,25.757636,411.053706
205,2023.02.08,A,T05,AC,SE029A,A,0,0
206,2023.02.08,A,T06,AC,SE029C,C,53.734447,389.587449
207,2023.02.15,M,T01,AC,SE030A,A,51.061478,410.933085
208,2023.02.15,M,T01,AC,SE030C,C,0,0
209,2023.02.15,M,T02,B,SE030B,B,0,0
210,2023.02.15,M,T03,AB,SE030A,A,0,0
211,2023.02.15,M,T03,AB,SE030B,B,0,0
212,2023.02.15,M,T04,A,SE030A,A,0,0
213,2023.02.15,M,T05,C,SE030C,C,0,0
214,2023.02.15,M,T06,BC,SE030B,B,0,0
215,2023.02.15,M,T06,BC,SE030C,C,11.609322,362.049374
216,2023.02.15,A,T01,A,SE031A,A,6.793455,283.61596
217,2023.02.15,A,T02,B,SE031B,B,14.802198,280.884607
218,2023.02.15,A,T03,AB,SE031A,A,29.153413,386.431216
219,2023.02.15,A,T04,AB,SE031B,B,0,0
220,2023.02.27,A,T01,B,SE032B,B,19.957663,303.024131
221,2023.02.27,A,T02,A,SE032A,A,10.974581,285.341593
222,2023.02.27,A,T03,AB,SE032A,A,0,0
223,2023.02.27,A,T03,AB,SE032B,B,0,0
224,2023.03.09,A,T01,BC,SE033B,B,15.629571,426.788975
225,2023.03.09,A,T01,BC,SE033C,C,99.009536,510.166207
226,2023.03.09,A,T02,A,SE033A,A,13.290079,302.241496
227,2023.03.09,A,T03,AB,SE033A,A,32.321417,397.135899
228,2023.03.09,A,T03,AB,SE033B,B,10.850366,375.657623
229,2023.03.09,A,T04,C,SE033B,B,0,0
230,2023.03.09,A,T05,B,SE033B,B,48.218279,314.577661
231,2023.03.09,A,T06,AC,SE033A,A,76.869749,463.153351
232,2023.03.09,A,T06,AC,SE033C,C,66.185392,452.468641
233,2023.03.15,A,T01,C,SE033B,B,0,0
234,2023.03.15,A,T02,B,SE034B,B,15.580282,293.062129
235,2023.03.15,A,T03,AB,SE034A,A,6.693585,373.339496
236,2023.03.15,A,T03,AB,SE034B,B,27.349246,393.994786
237,2023.03.15,A,T04,AC,SE034A,A,0,0
238,2023.03.15,A,T04,AC,SE034C,C,0,0
239,2023.03.15,A,T05,BC,SE034B,B,22.003006,385.427121
240,2023.03.15,A,T05,BC,SE034C,C,11.557937,374.981418
241,2023.03.15,A,T06,A,SE034A,A,16.7941,272.482986
242,2023.03.16,A,T01,AB,SE035A,A,10.014243,398.111714
243,2023.03.16,A,T02,AB,SE035B,B,0,0
244,2023.03.16,A,T03,BC,SE035B,B,20.504631,258.278028
245,2023.03.16,A,T03,BC,SE035C,C,0,0
246,2023.03.16,A,T04,C,SE035C,C,14.144792,368.808982
247,2023.03.16,A,T04,A,SE035A,A,0,0
248,2023.03.16,A,T05,AC,SE035A,A,26.118914,281.589454
249,2023.03.16,A,T05,AC,SE035C,C,0,0
250,2023.03.16,A,T06,B,SE035B,B,0,0
